,arg1,arg2,relation
476,Harold William Menke,Барнум Браун,KNOWS
477,Lotte Schlesinger,Карл Радек,KNOWS
478,Richard Goebel,"Поль, Освальд",KNOWS
479,federal modernism,Людвиг Мис ван дер Рое,KNOWS
480,Hermann Korshenrich,"Поль, Освальд",KNOWS
481,Dorrit von Viereck,Карл Франц Гебхардт,KNOWS
482,The Eckartsau Proclamation for Hungary,Карл I,KNOWS
483,"Шауб, Юлиус",Генрих Гиммлер,KNOWS
484,Walter Penner,"Хандлозер, Зигфрид",KNOWS
485,Moritz Benayoun,Жан-Люк Пикар,KNOWS
486,власть,Никколо Макиавелли,KNOWS
487,Joachim Gloger,Вильгельм Байгльбёк,KNOWS
488,учение о сигнатурах,Парацельс,KNOWS
489,Цех поэтов,Анна Андреевна Ахматова,KNOWS
490,власть,Фридрих Ницше,KNOWS
491,Karin Ahrland,"Эрландер, Таге Фритьоф",KNOWS
492,Герман Бурмейстер,Александр фон Гумбольдт,KNOWS
493,Кью,Жан-Люк Пикар,KNOWS
494,Lincoln Theatre,Франклин Делано Рузвельт,KNOWS
495,Herbert Grossmann,Карл Генцкен,KNOWS
496,Henny Bock-Neumann,Сельма Лагерлёф,KNOWS
497,Hans Surholt,"Раш, Отто",KNOWS
498,Адольф Гитлер,Альберт Шпеер,KNOWS
499,Clint Bolick,"Томас, Кларенс",KNOWS
500,Вольфганг Гурлитт,Адольф Гитлер,KNOWS
501,August Pfundt,Виктор Брак,KNOWS
502,Theodore Roosevelt Birthplace National Historic Site,Теодор Рузвельт,KNOWS
503,Molesworth Phillips,Джеймс Кук,KNOWS
504,Hans Flächsner,Альберт Шпеер,KNOWS
505,Миланское главное кладбище,Эва Перон,KNOWS
506,Eduard Reichenow,"Розе, Герхард",KNOWS
507,Nuremberg Court Prison,Роберт Лей,KNOWS
508,Альва Мюрдаль,"Эрландер, Таге Фритьоф",KNOWS
509,Moggio Moggi,Франческо Петрарка,KNOWS
510,"Grand Trunk Western Railroad, Mount Clemens Station",Томас Алва Эдисон,KNOWS
511,Compagnie genevoise des colonies suisses,Анри Дюнан,KNOWS
512,Саша Брике,Марлен Дитрих,KNOWS
513,Westerner hat,Джими Хендрикс,KNOWS
514,Пауль Целан,Нелли Закс,KNOWS
515,Викен,Сигурд Змееглазый,KNOWS
516,власть,Ханна Арендт,KNOWS
517,Симона де Бовуар,Жан-Поль Сартр,KNOWS
518,Werner Grothmann,Генрих Гиммлер,KNOWS
519,Ирина Александровна Антонова,Никита Сергеевич Хрущёв,KNOWS
520,Bernd von Brauchitsch,Герман Геринг,KNOWS
521,"Governor Harry W. Nice Memorial/Senator Thomas ""Mac"" Middleton Bridge",Франклин Делано Рузвельт,KNOWS
522,Wilhelm W. H. Reinhold,"Покорный, Адольф",KNOWS
523,"Мюррей, Паули",Элеонора Рузвельт,KNOWS
524,Maria Koffka,Франц Шлегельбергер,KNOWS
525,Leaena,Деметрий I Полиоркет,KNOWS
526,Carl Friedrich Wilhelm Siedhof,"Брем, Кристиан Людвиг",KNOWS
527,Rudolfine Steindling,Эрих Хонеккер,KNOWS
528,Karin Ahrland,"Фельдин, Турбьёрн",KNOWS
529,Franck Louvrier,Николя Саркози,KNOWS
530,S. Kaulisch,"Шефер, Конрад",KNOWS
531,Гарсия Хименес де Сиснерос,Игнатий де Лойола,KNOWS
532,Леонид Ильич Брежнев,Эрих Хонеккер,KNOWS
533,Maria Weber,Карл Франц Гебхардт,KNOWS
534,Лиза Мейтнер,Макс Планк,KNOWS
535,2018 Christmas Cup - senior ladies' singles free skating,"Лурц, Дагмар",KNOWS
536,Christian Pahl,"Шефер, Конрад",KNOWS
537,"On Friday, Joe Biden Asked The Video Game Industry To Improve Its Image",Джо Байден,KNOWS
538,Eva von Bahr,Лиза Мейтнер,KNOWS
539,Eugenio Ventura,Герман Геринг,KNOWS
540,No te entristezcas,Христиан Моргенштерн,KNOWS
541,Alfhild Tamm,Хелена Дейч,KNOWS
542,Lincoln Theatre,Луи Армстронг,KNOWS
543,South Pavilion,Томас Джефферсон,KNOWS
544,Майкл Бёрнэм,Спок,KNOWS
545,Helmina von Chézy,Рахель Фарнгаген фон Энзе,KNOWS
546,Frédéric Villot,Эжен Делакруа,KNOWS
547,Herbert Buhlick,"Ховен, Вальдемар",KNOWS
548,Pacta conventa,Кальман І Книжник,KNOWS
549,Cranna (Piuro Lake Como),Леонардо да Винчи,KNOWS
550,Richard Moe,"Мондейл, Уолтер",KNOWS
551,Max Hoffheinz,"Келер, Мартин",KNOWS
552,Charlotte,Пауль Гёц,KNOWS
553,Luca Cristiani,Франческо Петрарка,KNOWS
554,history of religions school,"Трёльч, Эрнст",KNOWS
555,Анна Шарлотта Лефлер-Эдгрен,Генрик Ибсен,KNOWS
556,Luigi Benzi,Федерико Феллини,KNOWS
557,August Wilhelm Forst,"Покорный, Адольф",KNOWS
558,Herwig von Degenberg,Людовик IV,KNOWS
559,Brita Ekelund Stark,F. K. Otto Dibelius,KNOWS
560,Alfons Ariëns,Бенедикт XV,KNOWS
561,Walter Schnell,"Розе, Герхард",KNOWS
562,Гран-при Японии 2016 года,"Феттель, Себастьян",KNOWS
563,Kurt Schmidt-Klevenow,"Поль, Освальд",KNOWS
564,Carl Reuther,Виктор Брак,KNOWS
565,Дитер Вислицени,"Эйхман, Адольф",KNOWS
566,"Штрассман, Фриц",Лиза Мейтнер,KNOWS
567,Ernst Ziehe,Франц Шлегельбергер,KNOWS
568,Johann Müller,"Франке, Август Герман",KNOWS
569,Ада Лавлейс,Чарльз Бэббидж,KNOWS
570,Heinz Schäuble,"Ховен, Вальдемар",KNOWS
571,federal modernism,Марсель Бройер,KNOWS
572,Fritz Schmelter,Эрхард Мильх,KNOWS
573,Spain and the World,Эмма Гольдман,KNOWS
574,Erich Burkhardt,Карл Генцкен,KNOWS
575,Karl Hoffmann,"Покорный, Адольф",KNOWS
576,Жан-Поль Сартр,Симона де Бовуар,KNOWS
577,Fritz Witt,"Шрёдер, Оскар",KNOWS
578,Дело Оскара Слейтера,Артур Конан Дойл,KNOWS
579,Nuremberg Court Prison,Карл Вольф,KNOWS
580,Joginder Mor,поэт,KNOWS
581,Lucien Mignon,Пьер Огюст Ренуар,KNOWS
582,Урсула Плассник,Михаэль Шпинделеггер,KNOWS
583,indictment and arrest of Julian Assange,Джулиан Ассанж,KNOWS
584,Alma Hedin,Карл Ялмар Брантинг,KNOWS
585,Lily Rupertus,Эмма Гольдман,KNOWS
586,Андре Агасси,Пит Сампрас,KNOWS
587,Damian Williams,Джон Пол Стивенс,KNOWS
588,Émile-Henri Laporte,Пьер Огюст Ренуар,KNOWS
589,Alma Hedin,Герман Геринг,KNOWS
590,Соглашение о процентах,Иосиф Виссарионович Сталин,KNOWS
591,Hans Haferkamp,"Рашер, Зигмунд",KNOWS
592,Kurt Wehlte,Вольфрам Зиверс,KNOWS
593,Tupelo Hardware,Элвис Пресли,KNOWS
594,Heinz Georg Schaefer,"Мруговский, Иоахим",KNOWS
595,Walther Massion,Вильгельм Байгльбёк,KNOWS
596,Heinrich Neumann,"Мруговский, Иоахим",KNOWS
597,MSC Fantasia,Софи Лорен,KNOWS
598,Peter Buchholz,"Тирак, Отто",KNOWS
599,Nuremberg Court Prison,Ганс Франк,KNOWS
600,Werner Grothmann,Карл Франц Гебхардт,KNOWS
601,Hermann Huber,Герварт Вальден,KNOWS
602,Cord Wiljes,Бертран Рассел,KNOWS
603,John C. Eastman,"Томас, Кларенс",KNOWS
604,August Stahm,"Хандлозер, Зигфрид",KNOWS
605,Udo Stengele,"Хандлозер, Зигфрид",KNOWS
606,Непорочное зачатие,Святой Дух,KNOWS
607,дадаизм,Ман Рэй,KNOWS
608,Karnofsky Tailor Shop–House,Луи Армстронг,KNOWS
609,Лекко,Леонардо да Винчи,KNOWS
610,Адольф Гитлер,Бенито Муссолини,KNOWS
611,"Ланц, Эрвин","Зиновац, Фред",KNOWS
612,Удо Прокш,Гельмут Цильк,KNOWS
613,Публий Корнелий Ануллин,Септимий Север,KNOWS
614,Norwegian royal family,Харальд V,KNOWS
615,Ludwig Engelhard Krebs,Мартин Генрих Лихтенштейн,KNOWS
616,Rozan-ji,Мурасаки Сикибу,KNOWS
617,"Юттнер, Ганс",Карл Генцкен,KNOWS
618,Sandy Wiener,Билл Тилден,KNOWS
619,Junction School,Линдон Джонсон,KNOWS
620,Chemical Revolution,Антуан Лоран Лавуазье,KNOWS
621,Lina Hjort,Сельма Лагерлёф,KNOWS
622,Лиза Мейтнер,"Штрассман, Фриц",KNOWS
623,Фрии,Гермес,KNOWS
624,P. Schmitz,"Наундорф, Карл-Вильгельм",KNOWS
625,2018 Christmas Cup - senior men's singles short program,"Лурц, Дагмар",KNOWS
626,Amy Kremer,Дональд Трамп,KNOWS
627,Каллас (сын Гарпала),Александр Македонский,KNOWS
628,Gustav Adolf Schmeding,Карл Франц Гебхардт,KNOWS
629,2018 Christmas Cup - senior ladies' singles short program,"Лурц, Дагмар",KNOWS
630,Hans Ollendorff,Виктор Брак,KNOWS
631,Яша Хейфец,Александр Константинович Глазунов,KNOWS
632,Осада Орлеана,Жанна д’Арк,KNOWS
633,Ганс-Ульрих Рудель,Йозеф Менгеле,KNOWS
634,Constantin Frick,"Шрёдер, Оскар",KNOWS
635,C. S. Wheeler,Ральф Уолдо Эмерсон,KNOWS
636,Lincoln Theatre,Элла Фицджеральд,KNOWS
637,Kathleen Margaret Putterill,"Болус, Хэрриет Маргарет Луиза",KNOWS
638,Willi Schulz,"Шефер, Конрад",KNOWS
639,Matilda Widegren,Сельма Лагерлёф,KNOWS
640,Аэндорская волшебница,Саул,KNOWS
641,Georg Zanger,"Унтервегер, Джек",KNOWS
642,Nuremberg Court Prison,Герман Геринг,KNOWS
643,"Райч, Ханна","Шрёдер, Оскар",KNOWS
644,экономика,Адам Смит,KNOWS
645,JStreet,Samuel W. Lewis,KNOWS
646,Trisaules and Damithales,Деметра,KNOWS
647,Frate Ilario,Данте Алигьери,KNOWS
648,Мартин Буцер,Мартин Лютер,KNOWS
649,дадаизм,Рауль Хаусман,KNOWS
650,Fritz Robert Gustav Seeker,"Мруговский, Иоахим",KNOWS
651,Alfhild Tamm,Пауль Федерн,KNOWS
652,Lily Rupertus,"Михельс, Роберт",KNOWS
653,Gottlieb Friedrich Reber,Герман Геринг,KNOWS
654,Wilhelm Buch,"Урбан, Игнац",KNOWS
655,Giovanni del Virgilio,Данте Алигьери,KNOWS
656,Хомбург,Эдуард VII,KNOWS
657,Bargain of Judas,Иуда Искариот,KNOWS
658,Frederik A. H. S. van der Laan,"Ховен, Вальдемар",KNOWS
659,Ferdinand Holl,"Хирт, Август",KNOWS
660,Donald Trump sexual misconduct allegations,Дональд Трамп,KNOWS
661,"Мури, Франц",Эрих Хонеккер,KNOWS
662,"Шауб, Юлиус",Адольф Гитлер,KNOWS
663,Zhang Wei,Ли Бо,KNOWS
664,Friedrich Ernst Jaekel,Генрих Гиммлер,KNOWS
665,Бруно Крайский,Теодор Кёрнер,KNOWS
666,Kangxi dynastic style,Император Канси,KNOWS
667,Chris Moon,Принс,KNOWS
668,экономика,"Кейнс, Джон Мейнард",KNOWS
669,Irene Morris,Людвиг Бергер,KNOWS
670,Международное общество сознания Кришны,Джордж Харрисон,KNOWS
671,Wim van Andringa de Kempenaer,Бернард Липпе-Бистерфельдский,KNOWS
672,визуализация данных,Флоренс Найтингейл,KNOWS
673,Otto Nelte,"Хандлозер, Зигфрид",KNOWS
674,Беатриче д’Эсте,Леонардо да Винчи,KNOWS
675,Франц Враницкий,"Зиновац, Фред",KNOWS
676,Samuel Barck,Ульрика Элеонора Шведская,KNOWS
677,Eugen Bruschwiller,Адольф Гитлер,KNOWS
678,Жозе Кариока,Дональд Дак,KNOWS
679,Яша Хейфец,Сергей Сергеевич Прокофьев,KNOWS
680,"Гуд, Ирвинг Джон",Алан Тьюринг,KNOWS
681,Hilde Fränkel,Ханна Арендт,KNOWS
682,Dasile,Леонардо да Винчи,KNOWS
683,Prince Albert v Strange,Виктория,KNOWS
684,Georg Braun,"Каммлер, Ганс",KNOWS
685,Oskar Weski,"Шрёдер, Оскар",KNOWS
686,Myrsine,Афина,KNOWS
687,Albert Hupperschwiller,Франц Шлегельбергер,KNOWS
688,Ernst Karl Heinrich Wehle,"Мруговский, Иоахим",KNOWS
689,Harriet Shaw Weaver,Джеймс Джойс,KNOWS
690,Herbert Geitner,Виктор Брак,KNOWS
691,Удо Прокш,Бруно Крайский,KNOWS
692,Fritz Sauter,Курт Бломе,KNOWS
693,Raab-Katzenstein,"Физелер, Герхард",KNOWS
694,Франц Антон Месмер,Вольфганг Амадей Моцарт,KNOWS
695,Brita Åkerman,"Эрландер, Таге Фритьоф",KNOWS
696,Pilate washing his hands,Понтий Пилат,KNOWS
697,MTELUS,Сара Бернар,KNOWS
698,Elisabeth Cronström,Фредрик I,KNOWS
699,гордиев узел,Александр Македонский,KNOWS
700,Margaretha Holmqvist,Нелли Закс,KNOWS
701,Joseph Gerhard Ollendorff,Виктор Брак,KNOWS
702,Susanna,Пауль Гёц,KNOWS
703,Katharina Katzmayr,"Поль, Освальд",KNOWS
704,"Клеве, Агнес",Василий Васильевич Кандинский,KNOWS
705,Музей естествознания,Карл Линней,KNOWS
706,экономика,Милтон Фридман,KNOWS
707,Abraham and Lot's conflict,Лот,KNOWS
708,Constanze Schleinitz,Феликс Мендельсон,KNOWS
709,Williams family,Винус Уильямс,KNOWS
710,Friedrich Schik,Карл Краус,KNOWS
711,Elisabeth Gombel,Эрнст Вильгельм Боле,KNOWS
712,маленькая чёрная книга Джеффри Эпштейна,Джон Керри,KNOWS
713,Berthe Meijer,Анна Франк,KNOWS
714,Йоханн Гуденус,Хайнц-Христиан Штрахе,KNOWS
715,Walter Neff,"Рашер, Зигмунд",KNOWS
716,Hans Fläschner,Альберт Шпеер,KNOWS
717,Emilia Rahenbrock,"Шефер, Конрад",KNOWS
718,Иоганн Коплениг,Карл Реннер,KNOWS
719,Richard Goebel,"Шварц, Генрих",KNOWS
720,Анна Шарлотта Лефлер-Эдгрен,Бьёрнстьерне Бьёрнсон,KNOWS
721,Charlotte Reber-Bodmer,Герман Гессе,KNOWS
722,Helmina von Chézy,Жорж Санд,KNOWS
723,Майкл Спавор,Ким Чен Ын,KNOWS
724,Maximilian Georg Hattingen,Франц Шлегельбергер,KNOWS
725,Wilhelm Otto Schaefer,"Хандлозер, Зигфрид",KNOWS
726,Герхард Петерс,"Розе, Герхард",KNOWS
727,Revolt of Ghent,Карл V,KNOWS
728,Ulrich Cameron Luft,"Шефер, Конрад",KNOWS
729,"Мифунэ, Тосиро",Акира Куросава,KNOWS
730,Wilhelm Goll,Вильгельм Байгльбёк,KNOWS
731,presidency of Jacques Chirac,Жак Ширак,KNOWS
732,Costa Serena,Марион Котийяр,KNOWS
733,Werner Schulemann,Виктор Брак,KNOWS
734,Пирс Гавестон,Эдуард II,KNOWS
